Année,Pays,Happiness_Index,Global_Rank,Subjective_Index,subjective_rank,Engagement civique,Equilibre travail-vie,Liens sociaux,Logement,Qualité environnementale,Revenu et patrimoine,Santé,Savoirs et compétences,Sécurité,Travail et qualité de l'emploi
2006,République slovaque,0.28142631951427727,14.0,0.6660496285199017,4.0,0.0,,0.17339040794608807,0.11713597689094547,1.2153131139041682e-05,0.13829580612815415,0.16994482938836525,0.08062307135691152,0.16734267343198542,0.1532550817264111
2006,Lettonie,0.27928794757097575,15.0,0.7167945558190618,3.0,0.08671337447402354,,0.1546701389190685,0.22024540883380764,0.011501384285791295,0.10487884577537042,0.03443155150494334,0.09403810064000559,0.08448408008531817,0.20903711548167164
2006,Lituanie,0.20717241819567062,16.0,0.859375,1.0,,,0.16262850657694616,0.16980880750158017,6.906697981623828e-05,0.20931652551402713,0.04314766394235009,0.11790601100492966,0.029512280099988627,0.2676111383803618
2007,Pays-Bas,0.6899281049970681,1.0,0.391304347826087,7.0,,,0.104317867103758,0.1933766653653759,0.01819974776204338,0.1703065528731005,0.18454159638370923,,0.2044960388220297,0.12476153168998332
2007,Finlande,0.6732147360127935,2.0,,,,,,0.20810599556416398,0.12378417891873018,0.15927572624861294,0.14231469825607862,,0.206670806017676,0.1598485949947383
2007,Luxembourg,0.6599382316075002,3.0,,,,,,0.19766435589047732,0.0,0.2511852332863438,0.1887958825761096,,0.20973243608587044,0.15262209216119885
2007,Belgique,0.645194222374976,4.0,0.19162284002518976,9.0,0.1937401105978164,,0.09814522409008053,0.14707012965912533,0.001028517292485704,0.15063252484424153,0.14874730368936742,,0.16371010619457793,0.09692608363230512
2007,Autriche,0.6451549854200499,5.0,,,,,,0.20194099911587213,3.6489560940406906e-05,0.179763089463431,0.1916129225625907,,0.23331152208103326,0.1933349772161325
2007,France,0.6430379443155726,6.0,0.3192444633795919,8.0,0.14700851530654072,,0.09885098708398002,0.1440365983487061,0.008167551061793146,0.14116937318589678,0.15207690141966107,,0.18054709612975645,0.1281429774636656
2007,Allemagne,0.621354855321502,7.0,0.5125797393838201,5.0,,,0.11764894669615876,0.17222144941991716,0.0005923904997490156,0.20513205219810784,0.1576758225228336,,0.22370768123136492,0.12302165743186871
2007,Espagne,0.5879943020465703,8.0,0.11470446433833316,10.0,,,0.12147833946682385,0.1641684449831208,0.05177230600574921,0.11472320700581835,0.17845166007195265,,0.2048672592023179,0.16453878326421714
2007,Irlande,0.5499601631746512,9.0,,,0.04559363935987558,,,0.17527366941689457,0.0027462736238952107,0.13911111158047693,0.24085790245343836,,0.23274661935771893,0.16367078420770048
2007,Italie,0.5412979355752571,10.0,0.6154095818045207,4.0,,,0.12601050158667676,0.15439925907052446,0.03930341364760312,0.1362624091245651,0.19194414963087975,,0.2041785581199271,0.14790170881982376
2007,Grèce,0.5264790180351929,11.0,0.41554928929690305,6.0,0.09954489048833726,,0.11871318297403095,0.12106412496732455,0.12934619441203438,0.0859394869758831,0.17978060907207763,,0.15798175941212134,0.10762975169819071
2007,Portugal,0.4668531109855996,12.0,,,,,,0.156810832689516,0.033730268465520984,0.1665970298525263,0.16271657113159493,,0.30451977933119245,0.1756255185296493
2007,République slovaque,0.3551345561919829,13.0,,,,,,0.1858651479504092,1.0855883677273967e-05,0.17608853884899664,0.19016238892290502,,0.2753254803180944,0.1725475880759175
2007,Estonie,0.3478830149262633,14.0,0.7870618707085975,2.0,0.0,,0.12012786031981391,0.26403227972163335,0.004080230649879346,0.16958359580015286,0.06739018492193706,,0.1692778060223591,0.2055080425642243
2007,Lettonie,0.33299350808761546,15.0,0.721626490667282,3.0,,,0.16451601933196816,0.26829722207016754,0.009305494867971333,0.13620797519676225,0.05215906375977406,,0.09338623945250867,0.276127985320848
